doc_id,label,text
1,positive,The interface is convenient and the recommendations are very useful.
2,negative,The application crashes often and the support team does not respond.
3,positive,I liked the clear structure of the course and practical examples.
4,negative,The update made the system slower and less stable than before.
5,positive,"Great discussion in the group, many helpful comments and ideas."
6,negative,"This news feed is noisy, repetitive and full of irrelevant posts."
7,positive,The model produced accurate results and worked surprisingly fast.
8,negative,The platform became confusing after redesign and navigation is poor.
9,positive,Users appreciated the quick response and friendly communication.
10,negative,The report contains errors and misleading conclusions.
11,positive,Excellent teamwork and strong final presentation from the students.
12,negative,The experiment failed because the data were incomplete and inconsistent.
13,positive,The website is easy to use and loads very quickly.
14,negative,Customer service was slow and did not solve my issue.
15,positive,The seminar was informative and well organized.
16,negative,Too many bugs appeared after the latest release.
17,positive,The new features are practical and save a lot of time.
18,negative,The instructions were unclear and difficult to follow.
19,positive,Students enjoyed the interactive tasks and group activities.
20,negative,The system logs out users without warning.
21,positive,Our team achieved excellent results ahead of schedule.
22,negative,The data analysis was inaccurate and poorly explained.
23,positive,The mobile app looks modern and performs smoothly.
24,negative,Navigation on the website is messy and frustrating.
25,positive,The workshop provided useful tools for future projects.
26,negative,The audio quality was poor during the online meeting.
27,positive,Many users praised the speed and reliability of the service.
28,negative,The payment page failed several times during checkout.
29,positive,The teacher explained difficult topics in a simple way.
30,negative,The article contains outdated facts and weak arguments.
31,positive,The chatbot answered questions correctly and politely.
32,negative,The interface is overloaded with too many unnecessary elements.
33,positive,The campaign attracted attention and received positive feedback.
34,negative,Several important files were missing from the archive.
35,positive,The design is clean attractive and user friendly.
36,negative,The response time of the server is extremely slow.
37,positive,Participants valued the open communication and clear goals.
38,negative,The recommendation system suggests irrelevant products.
39,positive,This software improved productivity across the whole team.
40,negative,The installation process was complicated and time consuming.